gene,LTR,RC/Helitron,DNA/TcMar-Stowaway,DNA,LTR/ERVK,DNA/hAT,SINE,DNA/TcMar-Pogo,DNA/hAT-Tip100,LTR/Gypsy,DNA/hAT-Tag1,DNA/hAT-Ac,DNA/Harbinger,LTR/Copia,LINE/L1,DNA/En-Spm,DNA/MuDR,RC/Helitron,LTR/Copia,DNA/MuDR
Model_0_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Model_0_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model_0_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
